amenity,building,name,geometry,latitude,longitude
,commercial,Infantry Techno Park,"MULTIPOLYGON (((77.6040192 12.9801157, 77.6041561 12.9800781, 77.6041049 12.9799195, 77.6040798 12.9798491, 77.6039271 12.979907, 77.6039642 12.9800048, 77.6040192 12.9801157)))",12.979984834114793,77.60404432502085
,commercial,Blue Cross Chambers,"MULTIPOLYGON (((77.6052061 12.9809616, 77.6056377 12.9808067, 77.6055836 12.9806384, 77.605144 12.980793, 77.6052061 12.9809616)))",12.980799912592333,77.6053921686254
,yes,Athaśrī Infantry,"MULTIPOLYGON (((77.6037274 12.9797198, 77.6039916 12.9796469, 77.6039659 12.9795437, 77.6036948 12.9796078, 77.6037274 12.9797198)))",12.979629932710262,77.60384283849291
,commercial,Prestige Atrium,"MULTIPOLYGON (((77.6021063 12.9799841, 77.6022237 12.9803255, 77.6026027 12.9802015, 77.6024852 12.9798602, 77.6021063 12.9799841)))",12.980092835898901,77.60235447252477
,yes,St. Andrew's Hall,"MULTIPOLYGON (((77.6043351 12.9800477, 77.6046016 12.9799571, 77.6045354 12.9797721, 77.604269 12.9798626, 77.6043351 12.9800477)))",12.97990988440571,77.60443527044099
,residential,Olive,"MULTIPOLYGON (((77.6389901 12.9556661, 77.6391611 12.9556465, 77.6391526 12.9555768, 77.6389817 12.9555964, 77.6389901 12.9556661)))",12.955621453086106,77.63907137771751
fast_food,yes,Indira Canteen,"MULTIPOLYGON (((77.6856609 12.9886115, 77.6857089 12.9885952, 77.6856801 12.9885151, 77.6856322 12.9885315, 77.6856609 12.9886115)))",12.988563330909418,77.68567053381611
fast_food,yes,Hot Chips,"MULTIPOLYGON (((77.5812659 13.0906934, 77.5813311 13.0906716, 77.5812988 13.09058, 77.5812336 13.0906017, 77.5812659 13.0906934)))",13.09063668046362,77.5812823459972
hospital,yes,Annasawmy Mudaliar General Hospital,"MULTIPOLYGON (((77.6143285 12.9998648, 77.6143583 13.000129, 77.6146687 13.0000958, 77.614639 12.9998316, 77.6143285 12.9998648)))",12.999980293103183,77.61449862317619
,apartments,Prema Mandira,"MULTIPOLYGON (((77.6072505 12.9993352, 77.6077826 12.9991696, 77.6077307 12.9990114, 77.6072495 12.9991612, 77.6072418 12.9991378, 77.6071503 12.9991663, 77.6071801 12.9992572, 77.6072208 12.9992445, 77.6072505 12.9993352)))",12.999174423919245,77.60747434880558
,college,LSCB Block,"MULTIPOLYGON (((77.5872358 12.9922056, 77.5872776 12.9925629, 77.5874388 12.9925451, 77.5874303 12.9924729, 77.5876309 12.9924457, 77.5877804 12.9924341, 77.5877888 12.9925063, 77.5879244 12.9924912, 77.5878826 12.9921339, 77.5872358 12.9922056)))",12.992330592582679,77.58757632958577
,apartments,Divya Jyothi Apartments,"MULTIPOLYGON (((77.6343995 12.9360595, 77.6345231 12.9360887, 77.6345327 12.9360909, 77.6345437 12.9360465, 77.6345786 12.9360547, 77.6345848 12.9360296, 77.6346371 12.9360419, 77.634655 12.9359697, 77.6346797 12.9359755, 77.6346974 12.9359043, 77.6344524 12.9358465, 77.6343995 12.9360595)))",12.935966304675734,77.63453553324494
,yes,Nuts Corner,"MULTIPOLYGON (((77.6338463 12.9311062, 77.6339758 12.9309911, 77.633838 12.930844, 77.6337086 12.9309591, 77.6338463 12.9311062)))",12.930975102003606,77.63384218339677
,school,Kiralee Nilayam,"MULTIPOLYGON (((77.6696809 12.9613699, 77.6696533 12.9608905, 77.6694254 12.9609029, 77.669453 12.9613823, 77.6696809 12.9613699)))",12.9611364,77.66955315
place_of_worship,temple,Ganapati Temple,"MULTIPOLYGON (((77.5808366 13.0083118, 77.581057 13.0082731, 77.5810351 13.0081542, 77.5808146 13.0081929, 77.5808366 13.0083118)))",13.008232996107704,77.58093582156908
,commercial,Sandur House,"MULTIPOLYGON (((77.5835989 13.0057794, 77.5839127 13.0057918, 77.5839189 13.0056429, 77.5836051 13.0056304, 77.5835989 13.0057794)))",13.005711124140229,77.58375888247956
,yes,Labelle Suite Apt,"MULTIPOLYGON (((77.6305062 13.0299033, 77.6304522 13.0297689, 77.6303265 13.0298169, 77.6303805 13.0299513, 77.6305062 13.0299033)))",13.029860100000002,77.63041635
,industrial,Production Dept.,"MULTIPOLYGON (((77.5126767 13.0263569, 77.5129392 13.0262943, 77.5129073 13.0261673, 77.5126448 13.0262299, 77.5126767 13.0263569)))",13.026262099999999,77.512792
,yes,Nrityaganga Dance School,"MULTIPOLYGON (((77.5057579 12.9692289, 77.5056955 12.9692695, 77.5057502 12.9693495, 77.5058127 12.969309, 77.5057579 12.9692289)))",12.969289222516606,77.50575408402396
hospital,yes,Arth Ayurveda World,"MULTIPOLYGON (((77.6457104 12.9686181, 77.6458324 12.9686223, 77.6458392 12.9684384, 77.6457171 12.9684341, 77.6457104 12.9686181)))",12.968528211810403,77.64577477014738
,commercial,Top in Town,"MULTIPOLYGON (((77.6756744 12.9789956, 77.6756989 12.9790646, 77.675902 12.978996, 77.6758775 12.978927, 77.6756744 12.9789956)))",12.9789958,77.6757882
school,yes,Narayana School,"MULTIPOLYGON (((77.6774116 12.9796765, 77.6775302 12.9796316, 77.677487 12.9795233, 77.6777617 12.9794192, 77.677712 12.9792947, 77.6773187 12.9794437, 77.6774116 12.9796765)))",12.979466455164522,77.67752131056994
,apartments,Mana Charisma,"MULTIPOLYGON (((77.696589 12.9392974, 77.6968043 12.9392168, 77.6967172 12.9389959, 77.6965019 12.9390766, 77.696589 12.9392974)))",12.939146669411224,77.69665310591976
,commercial,Mayuri Wines,"MULTIPOLYGON (((77.6963438 12.9388947, 77.6965397 12.9388231, 77.6965123 12.938752, 77.6963165 12.9388237, 77.6963438 12.9388947)))",12.938823366568649,77.69642810312905
,yes,IndiQube Alpha Building,"MULTIPOLYGON (((77.6956169 12.9394585, 77.6956823 12.9395999, 77.6959208 12.9394952, 77.696004 12.9396752, 77.6963249 12.9395343, 77.6961765 12.939213, 77.6956169 12.9394585)))",12.939452159356504,77.69601101533792
events_venue,yes,Sree Radha Krishna Convention Centre,"MULTIPOLYGON (((77.5691337 12.9453895, 77.569393 12.945389, 77.5693923 12.9450762, 77.569133 12.9450767, 77.5691337 12.9453895)))",12.94523285,77.56926300000002
,apartments,Vasavi Nivas Apartment,"MULTIPOLYGON (((77.6770423 12.994965, 77.6771142 12.99494, 77.6772676 12.9948866, 77.6771125 12.9946779, 77.67709 12.9946476, 77.6769 12.9947258, 77.6770423 12.994965)))",12.99480868596027,77.67707754894266
,apartments,Swarna Tej Residency,"MULTIPOLYGON (((77.6773073 12.9948817, 77.6773439 12.9948693, 77.6773824 12.9948562, 77.6773736 12.9947906, 77.6774733 12.9947462, 77.6775243 12.9947182, 77.6774433 12.9945712, 77.6771878 12.9947147, 77.6772165 12.994782, 77.6772328 12.9948037, 77.6772617 12.9947922, 77.6773073 12.9948817)))",12.99472220018613,77.67735619834191
,apartments,A Govindan,"MULTIPOLYGON (((77.6188402 13.0019403, 77.6187259 13.0016692, 77.6185611 13.0017352, 77.6186754 13.0020062, 77.6188402 13.0019403)))",13.001837718319942,77.61870065224977
,apartments,Golden Gate,"MULTIPOLYGON (((77.6181208 13.002183, 77.6182563 13.0021305, 77.618149 13.0018672, 77.6180134 13.0019197, 77.6181208 13.002183)))",13.002025086576182,77.61813486786538
,detached,Macksville,"MULTIPOLYGON (((77.6188437 13.0020449, 77.618735 13.002087, 77.6187974 13.0022402, 77.6189061 13.0021981, 77.6188437 13.0020449)))",13.002142549999999,77.61882055000001
,apartments,Sterling Aster,"MULTIPOLYGON (((77.619058 13.0046393, 77.6191652 13.0046019, 77.619067 13.0043483, 77.6189561 13.0043906, 77.619058 13.0046393)))",13.004494037147207,77.61906130984768
,apartments,R C Residency,"MULTIPOLYGON (((77.6173065 13.0028997, 77.6174541 13.0028448, 77.6173545 13.0025909, 77.6172069 13.0026458, 77.6173065 13.0028997)))",13.002745299999999,77.61733050000001
,yes,Servite Convent,"MULTIPOLYGON (((77.616303 13.0055694, 77.6164835 13.0056373, 77.6164996 13.0055966, 77.6165184 13.0056036, 77.616544 13.0055389, 77.616515 13.005528, 77.616536 13.0054749, 77.6164726 13.005451, 77.616483 13.0054249, 77.6163761 13.0053848, 77.6163348 13.0054892, 77.616303 13.0055694)))",13.005516852265739,77.6164265053726
social_facility,yes,Missionaries of Charity - Nirmala Shishubhavan,"MULTIPOLYGON (((77.6196505 13.0045123, 77.6194812 13.0045808, 77.6194934 13.0046094, 77.6193383 13.0046722, 77.6193841 13.0047795, 77.6195182 13.0047252, 77.6195341 13.0047625, 77.6196593 13.0047118, 77.619601 13.0045751, 77.619666 13.0045487, 77.6196505 13.0045123)))",13.004662980443193,77.61951520021282
,detached,Kocherla,"MULTIPOLYGON (((77.6190501 13.0050158, 77.6192107 13.0049508, 77.6191856 13.004892, 77.6192734 13.0048564, 77.6192799 13.0048717, 77.6193135 13.0048581, 77.6192869 13.0047956, 77.6191655 13.0048448, 77.6191418 13.0047891, 77.6189812 13.0048542, 77.6190028 13.0049048, 77.6189738 13.0049166, 77.6189959 13.0049684, 77.6190249 13.0049566, 77.6190501 13.0050158)))",13.004893328666197,77.61911850260297
,office,Ligouri Bhavan - Redemptorists,"MULTIPOLYGON (((77.6161792 13.0064771, 77.616391 13.006395, 77.61636 13.0063189, 77.6163265 13.0062368, 77.6161146 13.006319, 77.6161792 13.0064771)))",13.006356962955111,77.61625283363605
,apartments,Harmain Regalia,"MULTIPOLYGON (((77.6167738 13.0049494, 77.6166932 13.0049799, 77.6167483 13.0051181, 77.6168289 13.0050876, 77.6167738 13.0049494)))",13.005033749999999,77.61676105000001
,detached,Villa Louise Sinnas,"MULTIPOLYGON (((77.6173194 13.0050442, 77.6171573 13.0051122, 77.6172674 13.0053617, 77.6174296 13.0052937, 77.6173194 13.0050442)))",13.005202960015696,77.61729343169296
,yes,Perpetual Help Computer Training Center,"MULTIPOLYGON (((77.6165442 13.0059831, 77.6167282 13.0059118, 77.6166689 13.0057665, 77.6164849 13.0058378, 77.6165442 13.0059831)))",13.0058748,77.61660655000001
,detached,Shri Srinivasa Nilayam,"MULTIPOLYGON (((77.6179605 13.0049177, 77.6178985 13.0047785, 77.6177093 13.0048585, 77.6177714 13.0049977, 77.6179605 13.0049177)))",13.004888096544391,77.61783491867035
,apartments,Maria Kripa I,"MULTIPOLYGON (((77.6196582 13.0044171, 77.6196064 13.0042886, 77.6193865 13.0043728, 77.6194342 13.0045013, 77.6196582 13.0044171)))",13.004395048423675,77.61952158698374
place_of_worship,chapel,St. Gerard Magella,"MULTIPOLYGON (((77.6162687 13.0061062, 77.616183 13.0058962, 77.6159118 13.0060013, 77.6159975 13.0062113, 77.6162687 13.0061062)))",13.006053750000001,77.61609025
,apartments,Maria Kripa II,"MULTIPOLYGON (((77.6193825 13.0043656, 77.6195956 13.0042803, 77.6195464 13.0041636, 77.6193333 13.004249, 77.6193825 13.0043656)))",13.004264618137915,77.61946446232935
,apartments,Nasira Villa,"MULTIPOLYGON (((77.6166814 13.0049494, 77.6167626 13.0049187, 77.6167175 13.0048056, 77.6166363 13.0048363, 77.6166814 13.0049494)))",13.004877500000001,77.61669945
,detached,Thamarappally,"MULTIPOLYGON (((77.616879 13.004907, 77.6167956 13.0049386, 77.6168503 13.0050757, 77.6169337 13.0050441, 77.616879 13.004907)))",13.004991350000003,77.61686465000001
,detached,Silver End,"MULTIPOLYGON (((77.6184453 13.0051805, 77.6184267 13.0051371, 77.6184858 13.005113, 77.6184687 13.005073, 77.6184193 13.0050931, 77.6183978 13.0050431, 77.6182697 13.0050953, 77.6182938 13.0051513, 77.6182192 13.0051817, 77.6181673 13.0050608, 77.6181151 13.005082, 77.6182188 13.0053236, 77.6182732 13.0053015, 77.618236 13.0052148, 77.618299 13.0051892, 77.6183175 13.0052325, 77.6184453 13.0051805)))",13.005159454389053,77.61829604787022
,apartments,Skav Akasa,"MULTIPOLYGON (((77.6167401 13.0051264, 77.616645 13.0048917, 77.6164588 13.0049634, 77.6165032 13.0050731, 77.616601 13.0050355, 77.6166515 13.0051605, 77.6167401 13.0051264)))",13.00501703257082,77.61660798552246
,yes,Hutchins Aspire,"MULTIPOLYGON (((77.6241785 13.0055773, 77.6242929 13.0055283, 77.6242127 13.0053505, 77.6240983 13.0053995, 77.6241785 13.0055773)))",13.005463899999999,77.62419560000001
,yes,ಹಾಪ್‌ಕಾಮ್ಸ್,"MULTIPOLYGON (((77.6240371 13.0012504, 77.6241081 13.0012256, 77.6240861 13.0011638, 77.6240157 13.0011888, 77.6240371 13.0012504)))",13.001207171965982,77.62406179700154
,office,Subconscious Compute Pvt. Ltd.,"MULTIPOLYGON (((77.5797967 13.0652174, 77.5798737 13.0652591, 77.5799408 13.0651413, 77.5798639 13.0650997, 77.5797967 13.0652174)))",13.065179391334178,77.57986876818325
,yes,Pai Electonics,"MULTIPOLYGON (((77.5485095 13.0054288, 77.5486915 13.0054462, 77.5487168 13.0051961, 77.5485348 13.0051786, 77.5485095 13.0054288)))",13.005312423276969,77.54861314411123
,yes,Jos Alukkas,"MULTIPOLYGON (((77.5485468 13.0041233, 77.5485647 13.0039779, 77.548491 13.0039693, 77.5484731 13.0041146, 77.5485468 13.0041233)))",13.004046277483999,77.54851890391954
,yes,DejaView Apartments,"MULTIPOLYGON (((77.6628045 12.9895771, 77.6628914 12.9895747, 77.6628906 12.9895498, 77.6629249 12.9895489, 77.6629256 12.9895737, 77.6631661 12.9895671, 77.6631638 12.9894876, 77.6631342 12.9894884, 77.6631323 12.9894225, 77.6631464 12.9894221, 77.6631454 12.9893898, 77.6631609 12.9893894, 77.6631552 12.9891918, 77.6630169 12.9891956, 77.6630235 12.9894205, 77.6629705 12.989422, 77.6629723 12.9894837, 77.6629266 12.989485, 77.6629048 12.988734, 77.6629516 12.9887327, 77.6629538 12.9888068, 77.663005 12.9888054, 77.6630116 12.9890298, 77.6631504 12.989026, 77.6631439 12.988802, 77.6631261 12.9888024, 77.6631234 12.9887079, 77.6631412 12.9887074, 77.663139 12.9886335, 77.6627575 12.988644, 77.6627631 12.9888365, 77.6627845 12.988836, 77.6627861 12.9888903, 77.6627646 12.9888909, 77.66277 12.9890755, 77.6628028 12.9890746, 77.6628045 12.9891343, 77.6627717 12.9891352, 77.6627769 12.9893139, 77.662795 12.9893134, 77.6627967 12.9893725, 77.6627786 12.989373, 77.6627839 12.9895576, 77.6628039 12.9895571, 77.6628045 12.9895771)))",12.989100586713423,77.66295112788752
,apartments,Canary Court,"MULTIPOLYGON (((77.6066634 12.9982903, 77.6068866 12.9982587, 77.6068698 12.9981465, 77.6066466 12.9981781, 77.6066634 12.9982903)))",12.9982184,77.60676659999999
monastery,yes,Sisters of Mary Immaculate of Bishop Morrow,"MULTIPOLYGON (((77.6056716 12.9963514, 77.6057042 12.9964563, 77.605822 12.9964215, 77.6059068 12.9966946, 77.606042 12.9966547, 77.6059246 12.9962768, 77.6056716 12.9963514)))",12.996466372109182,77.60588281515216
,yes,Family Point,"MULTIPOLYGON (((77.6393498 13.0278819, 77.6395072 13.0278878, 77.6395102 13.0278122, 77.6393528 13.0278063, 77.6393498 13.0278819)))",13.027847049999998,77.63943
,apartments,Saptagiri Maharishi Apartments,"MULTIPOLYGON (((77.6663891 12.990218, 77.6664629 12.990227, 77.6664717 12.9901587, 77.6663979 12.9901497, 77.6663891 12.990218)))",12.99018835,77.6664304
,apartments,Southern Residency Apartment,"MULTIPOLYGON (((77.6030522 13.022492, 77.6031057 13.0226524, 77.6036669 13.0224746, 77.6036133 13.0223141, 77.6030522 13.022492)))",13.022483265434694,77.60335956018922
,apartments,Gaurav Enclave,"MULTIPOLYGON (((77.6029916 13.0223417, 77.6030273 13.0224376, 77.6034946 13.0222723, 77.6034588 13.0221763, 77.6029916 13.0223417)))",13.022306958770754,77.60324312389497
,yes,Government Maternity Home,"MULTIPOLYGON (((77.6198567 12.9983505, 77.6200759 12.9984335, 77.6201484 12.9982519, 77.6199292 12.9981688, 77.6198567 12.9983505)))",12.998301169296285,77.6200025422205
kindergarten,yes,Prism Pre-school,"MULTIPOLYGON (((77.6127418 12.9846609, 77.612869 12.9846624, 77.6128698 12.9845996, 77.6127426 12.9845981, 77.6127418 12.9846609)))",12.984630249999997,77.61280579999999
,apartments,Aedifice Signature,"MULTIPOLYGON (((77.6026133 12.9647109, 77.6026967 12.9646893, 77.6026453 12.9644816, 77.6025695 12.9645175, 77.6026133 12.9647109)))",12.96460045079043,77.6026319123043
,commercial,Thomas Manor,"MULTIPOLYGON (((77.6013204 12.9652999, 77.6015284 12.9653238, 77.6015384 12.9652411, 77.6013304 12.9652171, 77.6013204 12.9652999)))",12.965270472226072,77.60142937938859
,commercial,The Light Place,"MULTIPOLYGON (((77.6034472 12.9656172, 77.603533 12.965618, 77.6035346 12.9654601, 77.6034488 12.9654591, 77.6034472 12.9656172)))",12.965538599594304,77.60349089095348
,house,The Town House,"MULTIPOLYGON (((77.6033667 12.9640294, 77.6034463 12.9639995, 77.6033891 12.9638544, 77.6033094 12.9638843, 77.6033667 12.9640294)))",12.963941887338901,77.6033778682873
,apartments,Ispahani House,"MULTIPOLYGON (((77.6035149 12.965083, 77.6036371 12.9650828, 77.6036368 12.9648755, 77.6035145 12.9648758, 77.6035149 12.965083)))",12.964979260838687,77.6035758298816
,apartments,M. M. Mansion,"MULTIPOLYGON (((77.6035017 12.9646903, 77.6036473 12.9646846, 77.6036388 12.9644767, 77.6034932 12.9644824, 77.6035017 12.9646903)))",12.9645835,77.60357025
,yes,Richmond Villa,"MULTIPOLYGON (((77.6032928 12.964701, 77.6032832 12.9645385, 77.6031367 12.9645467, 77.6031435 12.9646617, 77.6032133 12.9646578, 77.6032161 12.9647053, 77.6032928 12.964701)))",12.964614200121245,77.60322040684281
,apartments,Skyline Mayflower Hall,"MULTIPOLYGON (((77.6030254 12.9650807, 77.6031632 12.9650767, 77.6031555 12.9648288, 77.6030177 12.9648328, 77.6030254 12.9650807)))",12.964954749999997,77.60309045
,commercial,Venkataadri Complex,"MULTIPOLYGON (((77.6035613 12.9656523, 77.6036655 12.9656508, 77.6036625 12.9654506, 77.6035583 12.9654521, 77.6035613 12.9656523)))",12.965551450000001,77.6036119
,apartments,Richmond Pride,"MULTIPOLYGON (((77.6040536 12.9640783, 77.6042374 12.9640649, 77.6042198 12.9638357, 77.6041312 12.9638421, 77.6041344 12.9638839, 77.6040391 12.9638909, 77.6040536 12.9640783)))",12.963966418457542,77.60414204303935
,commercial,Century Corbel,"MULTIPOLYGON (((77.5914001 13.0640489, 77.5915475 13.0640094, 77.591698 13.063969, 77.5915528 13.063681, 77.5915007 13.0636761, 77.5914909 13.0636127, 77.5914647 13.0635645, 77.5914354 13.0635347, 77.5913374 13.0634604, 77.5911447 13.0635057, 77.5911971 13.0636591, 77.5912293 13.0636675, 77.5914001 13.0640489)))",13.06375579290713,77.59141597002316
,apartments,Shree radhika residency Dhaya PG,"MULTIPOLYGON (((77.5611154 13.0395288, 77.5613426 13.0395778, 77.5613809 13.0394091, 77.5611537 13.0393601, 77.5611154 13.0395288)))",13.039468950000002,77.56124815000001
hospital,yes,"Neha Prakash Hospital, Bengaluru Urban","MULTIPOLYGON (((77.5716562 13.1078559, 77.5718104 13.1078519, 77.5718037 13.1076069, 77.5716495 13.1076108, 77.5716562 13.1078559)))",13.107731375496062,77.57172994476973
,yes,Sai Orchid Apartments,"MULTIPOLYGON (((77.6395284 13.0290508, 77.6395375 13.0293599, 77.6398451 13.0293723, 77.6398479 13.0293061, 77.6398327 13.0293054, 77.6398374 13.0291954, 77.6399114 13.0291984, 77.6399039 13.0293746, 77.6403035 13.0293907, 77.6402839 13.0290837, 77.6400605 13.029074, 77.6395284 13.0290508)))",13.029218415142722,77.6399149566645
parking,yes,CAIR Parking,"MULTIPOLYGON (((77.6675557 12.9863459, 77.6676269 12.9863392, 77.6676309 12.9863799, 77.6679002 12.9863547, 77.6679011 12.9863644, 77.6679678 12.9863581, 77.6679668 12.9863473, 77.6682088 12.9863247, 77.6682043 12.9862789, 77.668233 12.9862616, 77.6682444 12.9862435, 77.6682274 12.9860717, 77.6682083 12.9860499, 77.6681713 12.9860353, 77.6681678 12.9860002, 77.6679977 12.9860161, 77.6679997 12.9860359, 77.6679342 12.986042, 77.6679386 12.9860863, 77.6679163 12.9860884, 77.667903 12.9860896, 77.6678967 12.9860255, 77.6675966 12.9860536, 77.6676021 12.9861086, 77.6675368 12.9861147, 77.6675178 12.9861295, 77.6675064 12.9861467, 77.6675227 12.9863121, 77.6675337 12.9863311, 77.6675557 12.9863459)))",12.986195145072395,77.66788093086525
,apartments,Sampoorna Avenue,"MULTIPOLYGON (((77.6678984 12.985382, 77.668124 12.9850633, 77.6680273 12.9849983, 77.6679107 12.985163, 77.667897 12.9851538, 77.667788 12.9853078, 77.6678984 12.985382)))",12.985193048196432,77.66795557719466
,apartments,Shashikiran Apartments,"MULTIPOLYGON (((77.5669772 13.0085606, 77.5673112 13.0085546, 77.5673029 13.0081122, 77.5669688 13.0081181, 77.5669772 13.0085606)))",13.008336364288445,77.56714001839411
,apartments,Tharoor Apartments,"MULTIPOLYGON (((77.6025253 13.0273642, 77.6026671 13.0273322, 77.6026461 13.0272439, 77.6025043 13.0272758, 77.6025253 13.0273642)))",13.02730402903179,77.60258568758348
,yes,Narayana Apartments,"MULTIPOLYGON (((77.6013604 13.0261754, 77.6013963 13.0263019, 77.6014875 13.0262774, 77.6014517 13.0261509, 77.6013604 13.0261754)))",13.026226389667066,77.60142397045769
,college,CMR Group of Institutions,"MULTIPOLYGON (((77.642116 13.0195208, 77.6422116 13.019507, 77.6422141 13.0195233, 77.6423964 13.019497, 77.6423939 13.0194807, 77.6425175 13.0194629, 77.6424972 13.01933, 77.6425158 13.0193273, 77.6424931 13.0191782, 77.6423331 13.0192013, 77.642332 13.0191944, 77.6421028 13.0192275, 77.6421184 13.0193299, 77.6420985 13.0193328, 77.6421159 13.0194466, 77.6421049 13.0194482, 77.642116 13.0195208)))",13.019351809851857,77.64230631025353
,apartments,Prestige Wellington,"MULTIPOLYGON (((77.6045281 12.9655065, 77.604617 12.9655065, 77.604617 12.965213, 77.6045281 12.965213, 77.6045281 12.9655065)))",12.96535975,77.60457255
,commercial,M. T. B. Mahaameru,"MULTIPOLYGON (((77.6044431 12.9657179, 77.6046186 12.96572, 77.6046209 12.9655383, 77.6044454 12.9655362, 77.6044431 12.9657179)))",12.965628100000002,77.604532
hospital,yes,Sri Lakshmi Venkateshwara Hospital,"MULTIPOLYGON (((77.5773962 13.1056818, 77.577329 13.1055233, 77.5772033 13.1055739, 77.5772704 13.1057324, 77.5773962 13.1056818)))",13.105627858059256,77.57729973107473
hospital,hospital,Prolife Hospital,"MULTIPOLYGON (((77.5935784 13.065233, 77.5936504 13.0652334, 77.5936535 13.0651824, 77.5936879 13.0651839, 77.5936901 13.0651451, 77.5936628 13.0651442, 77.5936686 13.0649374, 77.5935834 13.0649347, 77.5935786 13.0650851, 77.5935938 13.0650847, 77.5935923 13.0651399, 77.5935799 13.0651401, 77.5935784 13.065233)))",13.065083539810693,77.59362493792045
fuel,yes,Hindustan Petroleum,"MULTIPOLYGON (((77.6147241 12.9919812, 77.6148221 12.9919424, 77.6147205 12.9916985, 77.6146224 12.9917374, 77.6147241 12.9919812)))",12.991839849110292,77.61472226623086
bank,yes,Punjab National Bank,"MULTIPOLYGON (((77.61486 12.991774, 77.6149335 12.9917352, 77.6148648 12.9916116, 77.6147913 12.9916505, 77.61486 12.991774)))",12.991692816955007,77.61486240048407
place_of_worship,church,St. John's Church,"MULTIPOLYGON (((77.6128842 12.9919171, 77.6131211 12.9917867, 77.6131066 12.9917617, 77.6131959 12.9917125, 77.613146 12.9916265, 77.6131001 12.9916517, 77.6130723 12.9916038, 77.6130255 12.9916296, 77.6130534 12.9916776, 77.6128998 12.9917622, 77.6128833 12.9917337, 77.6128499 12.991752, 77.6128682 12.9917836, 77.6128211 12.9918095, 77.6128412 12.9918442, 77.6127934 12.9918706, 77.6128188 12.9919144, 77.6128672 12.9918878, 77.6128842 12.9919171)))",12.991770969712835,77.61299682814874
,apartments,Vista Tribute,"MULTIPOLYGON (((77.600192 12.9671393, 77.6004354 12.9673759, 77.6006105 12.9672047, 77.6003671 12.9669681, 77.600192 12.9671393)))",12.967172000000001,77.60040125
,apartments,Regency Hampstead,"MULTIPOLYGON (((77.6013434 12.9667472, 77.6015474 12.9668647, 77.6016054 12.9667692, 77.6014014 12.9666516, 77.6013434 12.9667472)))",12.966758165649315,77.60147438788425
,yes,Classic Court,"MULTIPOLYGON (((77.6020745 12.9658974, 77.6022019 12.9659161, 77.602238 12.9656819, 77.6021105 12.9656632, 77.6020745 12.9658974)))",12.965789635120487,77.60215622795576
,apartments,Coventry Apartments,"MULTIPOLYGON (((77.6032685 12.9664427, 77.6035592 12.966548, 77.6036058 12.9664257, 77.6033151 12.9663205, 77.6032685 12.9664427)))",12.966434232478276,77.60343716696534
,yes,B2,"MULTIPOLYGON (((77.6010971 12.9673461, 77.6011694 12.9672384, 77.6010544 12.967165, 77.600982 12.9672727, 77.6010971 12.9673461)))",12.967255552924318,77.60107571735618
,apartments,Richmond Plaza,"MULTIPOLYGON (((77.6033489 12.9662846, 77.60359 12.9663697, 77.6036433 12.9662264, 77.6034022 12.9661413, 77.6033489 12.9662846)))",12.966255499999999,77.6034961
,yes,B1,"MULTIPOLYGON (((77.600858 12.9674047, 77.6009791 12.9674823, 77.6010501 12.9673772, 77.600929 12.9672995, 77.600858 12.9674047)))",12.967390917295884,77.60095404560461
,yes,B4,"MULTIPOLYGON (((77.6011977 12.9670232, 77.6013494 12.9671217, 77.6014005 12.967047, 77.6012489 12.9669484, 77.6011977 12.9670232)))",12.96703506335075,77.60129910507838
,yes,B3,"MULTIPOLYGON (((77.6011132 12.9671763, 77.6012434 12.9672629, 77.6013194 12.9671543, 77.6012331 12.967097, 77.6012093 12.9671309, 77.6011653 12.9671017, 77.6011132 12.9671763)))",12.967173102105242,77.60121828948455
,commercial,Sigma Trident,"MULTIPOLYGON (((77.6015454 12.9656927, 77.6015371 12.9657764, 77.6015799 12.9657805, 77.6015762 12.9658178, 77.6016478 12.9658246, 77.6016598 12.9657034, 77.6015454 12.9656927)))",12.965753595040535,77.60160182012639
,commercial,Ramapuram House,"MULTIPOLYGON (((77.6025215 12.9659113, 77.602646 12.9659059, 77.6026444 12.9658702, 77.6026546 12.9658698, 77.6026536 12.9658482, 77.6026663 12.9658476, 77.6026605 12.96572, 77.6025131 12.9657263, 77.6025215 12.9659113)))",12.965812931343654,77.60258821836513
,apartments,Crescent Classic,"MULTIPOLYGON (((77.6231653 12.9984648, 77.6232864 12.998427, 77.6232801 12.9984078, 77.6233678 12.9983805, 77.623329 12.9982621, 77.6232457 12.998288, 77.623231 12.9982433, 77.6231055 12.9982824, 77.6231653 12.9984648)))",12.99834789953598,77.62323071007563
,detached,Laxmi Nivas,"MULTIPOLYGON (((77.6229796 12.9988235, 77.6229331 12.9987001, 77.6228711 12.9987223, 77.6229176 12.9988456, 77.6229796 12.9988235)))",12.998772868173022,77.62292535161501
,apartments,Carlston Classic,"MULTIPOLYGON (((77.6232072 12.9985533, 77.6232791 12.9987343, 77.62348 12.9986586, 77.6233944 12.998443, 77.6232528 12.9984963, 77.6232607 12.9985161, 77.6232363 12.9985253, 77.6232422 12.9985401, 77.6232072 12.9985533)))",12.998591264176167,77.62334125975947
,apartments,Mariam Apartments,"MULTIPOLYGON (((77.6223525 13.0020175, 77.6225599 13.0019281, 77.6225072 13.0017897, 77.6222935 13.0018906, 77.6223525 13.0020175)))",13.001905548995273,77.62242902966243
